date,keyword,interest
2017-06-10,Abby Martin,9
2017-06-17,Abby Martin,7
2017-06-24,Abby Martin,9
2017-07-01,Abby Martin,6
2017-07-08,Abby Martin,6
2017-07-15,Abby Martin,7
2017-07-22,Abby Martin,5
2017-07-29,Abby Martin,7
2017-08-05,Abby Martin,6
2017-08-12,Abby Martin,22
2017-08-19,Abby Martin,11
2017-08-26,Abby Martin,9
2017-09-02,Abby Martin,9
2017-09-09,Abby Martin,8
2017-09-16,Abby Martin,6
2017-09-23,Abby Martin,7
2017-09-30,Abby Martin,6
2017-10-07,Abby Martin,6
2017-10-14,Abby Martin,6
2017-10-21,Abby Martin,7
2017-10-28,Abby Martin,6
2017-11-04,Abby Martin,9
2017-11-11,Abby Martin,15
2017-11-18,Abby Martin,9
2017-11-25,Abby Martin,8
2017-12-02,Abby Martin,8
2017-12-09,Abby Martin,7
2017-12-16,Abby Martin,8
2017-12-23,Abby Martin,7
2017-12-30,Abby Martin,8
2018-01-06,Abby Martin,5
2018-01-13,Abby Martin,7
2018-01-20,Abby Martin,5
2018-01-27,Abby Martin,8
2018-02-03,Abby Martin,5
2018-02-10,Abby Martin,8
2018-02-17,Abby Martin,5
2018-02-24,Abby Martin,6
2018-03-03,Abby Martin,5
2018-03-10,Abby Martin,6
2018-03-17,Abby Martin,4
2018-03-24,Abby Martin,7
2018-03-31,Abby Martin,8
2018-04-07,Abby Martin,8
2018-04-14,Abby Martin,6
2018-04-21,Abby Martin,63
2018-04-28,Abby Martin,70
2018-05-05,Abby Martin,22
2018-05-12,Abby Martin,19
2018-05-19,Abby Martin,11
2018-05-26,Abby Martin,6
2018-06-02,Abby Martin,5
2018-06-09,Abby Martin,9
2018-06-16,Abby Martin,12
2018-06-23,Abby Martin,5
2018-06-30,Abby Martin,6
2018-07-07,Abby Martin,11
2018-07-14,Abby Martin,7
2018-07-21,Abby Martin,7
2018-07-28,Abby Martin,7
2018-08-04,Abby Martin,7
2018-08-11,Abby Martin,7
2018-08-18,Abby Martin,9
2018-08-25,Abby Martin,10
2018-09-01,Abby Martin,7
2018-09-08,Abby Martin,4
2013-09-21,Action Bronson,10
2013-09-28,Action Bronson,10
2013-10-05,Action Bronson,9
2013-10-12,Action Bronson,11
2013-10-19,Action Bronson,10
2013-10-26,Action Bronson,23
2013-11-02,Action Bronson,25
2013-11-09,Action Bronson,15
2013-11-16,Action Bronson,13
2013-11-23,Action Bronson,11
2013-11-30,Action Bronson,11
2013-12-07,Action Bronson,11
2013-12-14,Action Bronson,9
2013-12-21,Action Bronson,11
2013-12-28,Action Bronson,13
2014-01-04,Action Bronson,15
2014-01-11,Action Bronson,16
2014-01-18,Action Bronson,14
2014-01-25,Action Bronson,14
2014-02-01,Action Bronson,21
2014-02-08,Action Bronson,12
2014-02-15,Action Bronson,9
2014-02-22,Action Bronson,11
2014-03-01,Action Bronson,8
2014-03-08,Action Bronson,10
2014-03-15,Action Bronson,11
2014-03-22,Action Bronson,11
2014-03-29,Action Bronson,10
2014-04-05,Action Bronson,9
2014-04-12,Action Bronson,8
2014-04-19,Action Bronson,9
2014-04-26,Action Bronson,9
2014-05-03,Action Bronson,14
2014-05-10,Action Bronson,12
2014-05-17,Action Bronson,11
2014-05-24,Action Bronson,10
2014-05-31,Action Bronson,9
2014-06-07,Action Bronson,8
2014-06-14,Action Bronson,10
2014-06-21,Action Bronson,8
2014-06-28,Action Bronson,9
2014-07-05,Action Bronson,7
2014-07-12,Action Bronson,14
2014-07-19,Action Bronson,13
2014-07-26,Action Bronson,8
2014-08-02,Action Bronson,15
2014-08-09,Action Bronson,11
2014-08-16,Action Bronson,14
2014-08-23,Action Bronson,11
2014-08-30,Action Bronson,14
2014-09-06,Action Bronson,10
2014-09-13,Action Bronson,10
2014-09-20,Action Bronson,10
2014-09-27,Action Bronson,10
2014-10-04,Action Bronson,11
2014-10-11,Action Bronson,9
2014-10-18,Action Bronson,8
2014-10-25,Action Bronson,7
2014-11-01,Action Bronson,10
2014-11-08,Action Bronson,8
2014-11-15,Action Bronson,8
2014-11-22,Action Bronson,8
2014-11-29,Action Bronson,11
2014-12-06,Action Bronson,9
2014-12-13,Action Bronson,11
2014-12-20,Action Bronson,12
2014-12-27,Action Bronson,9
2015-01-03,Action Bronson,16
2015-01-10,Action Bronson,18
2015-01-17,Action Bronson,20
2015-01-24,Action Bronson,15
2015-01-31,Action Bronson,18
2015-02-07,Action Bronson,18
2015-02-14,Action Bronson,19
2015-02-21,Action Bronson,18
2015-02-28,Action Bronson,35
2015-03-07,Action Bronson,22
2015-03-14,Action Bronson,30
2015-03-21,Action Bronson,100
2015-03-28,Action Bronson,53
2015-04-04,Action Bronson,40
2015-04-11,Action Bronson,32
2015-04-18,Action Bronson,26
2015-04-25,Action Bronson,26
2015-05-02,Action Bronson,23
2015-05-09,Action Bronson,18
2015-05-16,Action Bronson,18
2015-05-23,Action Bronson,21
2015-05-30,Action Bronson,16
2015-06-06,Action Bronson,13
2015-06-13,Action Bronson,12
2015-06-20,Action Bronson,11
2015-06-27,Action Bronson,13
2015-07-04,Action Bronson,15
2015-07-11,Action Bronson,12
2015-07-18,Action Bronson,75
2015-07-25,Action Bronson,16
2015-08-01,Action Bronson,12
2015-08-08,Action Bronson,19
2015-08-15,Action Bronson,12
2015-08-22,Action Bronson,13
2015-08-29,Action Bronson,10
2015-09-05,Action Bronson,11
2015-09-12,Action Bronson,10
2015-09-19,Action Bronson,8
2015-09-26,Action Bronson,8
2015-10-03,Action Bronson,8
2015-10-10,Action Bronson,10
2015-10-17,Action Bronson,10
2015-10-24,Action Bronson,13
2015-10-31,Action Bronson,10
2015-11-07,Action Bronson,8
2015-11-14,Action Bronson,8
2015-11-21,Action Bronson,9
2015-11-28,Action Bronson,7
2015-12-05,Action Bronson,8
2015-12-12,Action Bronson,8
2015-12-19,Action Bronson,8
2015-12-26,Action Bronson,8
2016-01-02,Action Bronson,8
2016-01-09,Action Bronson,9
2016-01-16,Action Bronson,8
2016-01-23,Action Bronson,7
2016-01-30,Action Bronson,9
2016-02-06,Action Bronson,7
2016-02-13,Action Bronson,9
2016-02-20,Action Bronson,22
2016-02-27,Action Bronson,18
2016-03-05,Action Bronson,18
2016-03-12,Action Bronson,16
2016-03-19,Action Bronson,17
2016-03-26,Action Bronson,22
2016-04-02,Action Bronson,15
2016-04-09,Action Bronson,17
2016-04-16,Action Bronson,28
2016-04-23,Action Bronson,15
2016-04-30,Action Bronson,11
2016-05-07,Action Bronson,10
2016-05-14,Action Bronson,12
2016-05-21,Action Bronson,9
2016-05-28,Action Bronson,9
2016-06-04,Action Bronson,8
2016-06-11,Action Bronson,8
2016-06-18,Action Bronson,6
2016-06-25,Action Bronson,8
2016-07-02,Action Bronson,7
2016-07-09,Action Bronson,8
2016-07-16,Action Bronson,15
2016-07-23,Action Bronson,18
2016-07-30,Action Bronson,22
2016-08-06,Action Bronson,19
2016-08-13,Action Bronson,18
2016-08-20,Action Bronson,18
2016-08-27,Action Bronson,21
2016-09-03,Action Bronson,20
2016-09-10,Action Bronson,15
2016-09-17,Action Bronson,15
2016-09-24,Action Bronson,18
2016-10-01,Action Bronson,15
2016-10-08,Action Bronson,16
2016-10-15,Action Bronson,19
2016-10-22,Action Bronson,12
2016-10-29,Action Bronson,9
2016-11-05,Action Bronson,13
2016-11-12,Action Bronson,12
2016-11-19,Action Bronson,10
2016-11-26,Action Bronson,9
2016-12-03,Action Bronson,9
2016-12-10,Action Bronson,9
2016-12-17,Action Bronson,10
2016-12-24,Action Bronson,9
2016-12-31,Action Bronson,13
2017-01-07,Action Bronson,13
2017-01-14,Action Bronson,12
2017-01-21,Action Bronson,11
2017-01-28,Action Bronson,11
2017-02-04,Action Bronson,10
2017-02-11,Action Bronson,9
2017-02-18,Action Bronson,10
2017-02-25,Action Bronson,10
2017-03-04,Action Bronson,8
2017-03-11,Action Bronson,9
2017-03-18,Action Bronson,8
2017-03-25,Action Bronson,7
2017-04-01,Action Bronson,7
2017-04-08,Action Bronson,7
2017-04-15,Action Bronson,10
2017-04-22,Action Bronson,8
2017-04-29,Action Bronson,9
2017-05-06,Action Bronson,8
2017-05-13,Action Bronson,7
2017-05-20,Action Bronson,9
2017-05-27,Action Bronson,8
2017-06-03,Action Bronson,8
2017-06-10,Action Bronson,11
2017-06-17,Action Bronson,9
2017-06-24,Action Bronson,8
2017-07-01,Action Bronson,8
2017-07-08,Action Bronson,9
2017-07-15,Action Bronson,7
2017-07-22,Action Bronson,8
2017-07-29,Action Bronson,11
2017-08-05,Action Bronson,12
2017-08-12,Action Bronson,13
2017-08-19,Action Bronson,20
2017-08-26,Action Bronson,18
2017-09-02,Action Bronson,12
2017-09-09,Action Bronson,19
2017-09-16,Action Bronson,14
2017-09-23,Action Bronson,14
2017-09-30,Action Bronson,12
2017-10-07,Action Bronson,11
2017-10-14,Action Bronson,12
2017-10-21,Action Bronson,13
2017-10-28,Action Bronson,12
2017-11-04,Action Bronson,15
2017-11-11,Action Bronson,14
2017-11-18,Action Bronson,13
2017-11-25,Action Bronson,13
2017-12-02,Action Bronson,13
2017-12-09,Action Bronson,11
2017-12-16,Action Bronson,14
2017-12-23,Action Bronson,12
2017-12-30,Action Bronson,12
2018-01-06,Action Bronson,13
2018-01-13,Action Bronson,10
2018-01-20,Action Bronson,11
2018-01-27,Action Bronson,9
2018-02-03,Action Bronson,8
2018-02-10,Action Bronson,8
2018-02-17,Action Bronson,7
2018-02-24,Action Bronson,6
2018-03-03,Action Bronson,6
2018-03-10,Action Bronson,6
2018-03-17,Action Bronson,6
2018-03-24,Action Bronson,9
2018-03-31,Action Bronson,7
2018-04-07,Action Bronson,8
2018-04-14,Action Bronson,9
2018-04-21,Action Bronson,6
2018-04-28,Action Bronson,7
2018-05-05,Action Bronson,6
2018-05-12,Action Bronson,7
2018-05-19,Action Bronson,6
2018-05-26,Action Bronson,6
2018-06-02,Action Bronson,7
2018-06-09,Action Bronson,8
2018-06-16,Action Bronson,11
2018-06-23,Action Bronson,13
2018-06-30,Action Bronson,10
2018-07-07,Action Bronson,8
2018-07-14,Action Bronson,10
2018-07-21,Action Bronson,10
2018-07-28,Action Bronson,13
2018-08-04,Action Bronson,10
2018-08-11,Action Bronson,11
2018-08-18,Action Bronson,9
2018-08-25,Action Bronson,7
2018-09-01,Action Bronson,9
2018-09-08,Action Bronson,10
2013-09-21,Adam Carolla,59
2013-09-28,Adam Carolla,44
2013-10-05,Adam Carolla,46
2013-10-12,Adam Carolla,44
2013-10-19,Adam Carolla,47
2013-10-26,Adam Carolla,43
2013-11-02,Adam Carolla,65
2013-11-09,Adam Carolla,56
2013-11-16,Adam Carolla,46
2013-11-23,Adam Carolla,43
2013-11-30,Adam Carolla,46
2013-12-07,Adam Carolla,48
2013-12-14,Adam Carolla,46
2013-12-21,Adam Carolla,35
2013-12-28,Adam Carolla,36
2014-01-04,Adam Carolla,50
2014-01-11,Adam Carolla,43
2014-01-18,Adam Carolla,52
2014-01-25,Adam Carolla,54
2014-02-01,Adam Carolla,43
2014-02-08,Adam Carolla,47
2014-02-15,Adam Carolla,45
2014-02-22,Adam Carolla,45
2014-03-01,Adam Carolla,97
2014-03-08,Adam Carolla,86
2014-03-15,Adam Carolla,69
2014-03-22,Adam Carolla,66
2014-03-29,Adam Carolla,61
2014-04-05,Adam Carolla,48
2014-04-12,Adam Carolla,50
2014-04-19,Adam Carolla,53
2014-04-26,Adam Carolla,50
2014-05-03,Adam Carolla,51
2014-05-10,Adam Carolla,68
2014-05-17,Adam Carolla,64
2014-05-24,Adam Carolla,56
2014-05-31,Adam Carolla,43
2014-06-07,Adam Carolla,55
2014-06-14,Adam Carolla,45
2014-06-21,Adam Carolla,41
2014-06-28,Adam Carolla,48
2014-07-05,Adam Carolla,47
2014-07-12,Adam Carolla,42
2014-07-19,Adam Carolla,44
2014-07-26,Adam Carolla,50
2014-08-02,Adam Carolla,46
2014-08-09,Adam Carolla,42
2014-08-16,Adam Carolla,54
2014-08-23,Adam Carolla,47
2014-08-30,Adam Carolla,54
2014-09-06,Adam Carolla,50
2014-09-13,Adam Carolla,37
2014-09-20,Adam Carolla,42
2014-09-27,Adam Carolla,39
2014-10-04,Adam Carolla,43
2014-10-11,Adam Carolla,44
2014-10-18,Adam Carolla,46
2014-10-25,Adam Carolla,44
2014-11-01,Adam Carolla,41
2014-11-08,Adam Carolla,46
2014-11-15,Adam Carolla,48
2014-11-22,Adam Carolla,48
2014-11-29,Adam Carolla,37
2014-12-06,Adam Carolla,40
2014-12-13,Adam Carolla,40
2014-12-20,Adam Carolla,29
2014-12-27,Adam Carolla,30
2015-01-03,Adam Carolla,100
2015-01-10,Adam Carolla,86
2015-01-17,Adam Carolla,63
2015-01-24,Adam Carolla,42
